_id__$oid	course	semester	count	lastUpdated__$date	lastStatus
5a13b01ace2097cd143dc495	CRIM-270-001	2018A	2	2017-11-30T17:25:14.953Z	FALSE
5a13b01fce2097cd143dc500	WRIT-002-305	2018A	7	2018-02-10T21:30:02.640Z	FALSE
5a13b021ce2097cd143dc51e	BEPP-233-001	2018A	15	2018-02-10T21:30:02.644Z	TRUE
5a13b02dce2097cd143dc5f5	WRIT-013-301	2018A	13	2018-02-10T21:30:02.652Z	FALSE
5a13b02ece2097cd143dc5fa	LING-001-208	2018A	3	2018-02-10T21:30:02.820Z	FALSE
5a13b073ce2097cd143dca47	AFRC-101-401	2018A	3	2018-02-10T21:30:20.259Z	FALSE
5a13b078ce2097cd143dcaa1	PHYS-151-141	2018A	6	2018-02-10T21:30:02.865Z	TRUE
5a13b080ce2097cd143dcb36	PHYS-151-005	2018A	9	2018-02-10T21:30:02.866Z	TRUE
5a13b08ace2097cd143dcbe2	WRIT 002 301	2018A	3	2018-02-10T21:30:02.972Z	FALSE
5a13b093ce2097cd143dcc5f	NETS-412-001	2018A	9	2018-02-10T21:30:02.984Z	FALSE
5a13b093ce2097cd143dcc6f	ENGL-003-401	2018A	1	2017-12-22T15:50:06.720Z	FALSE
5a13b099ce2097cd143dccc3	PSCI 225 401	2018A	2	2018-02-10T21:30:03.001Z	TRUE
5a13b09ece2097cd143dcd62	ENGL-091-401	2018A	3	2018-02-10T21:30:22.504Z	FALSE
5a13b0bace2097cd143dcf12	ANTH-386-601	2018A	6	2018-02-10T21:30:06.528Z	FALSE
5a13b0bbce2097cd143dcf35	WRIT-011-302	2018A	10	2018-02-10T21:30:03.011Z	FALSE
5a13b0c5ce2097cd143dcfc0	WRIT-002-301	2018A	4	2018-02-10T21:30:03.016Z	FALSE
5a13b0d1ce2097cd143dd097	ENGL-126-301	2018A	5	2018-02-10T21:30:03.026Z	FALSE
5a13b0d4ce2097cd143dd0c5	FREN-120-301	2018A	1	2017-12-09T04:30:04.438Z	FALSE
